mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	[True, False, False, False, False, False, False, False]
0.4642857142857143,	0.08609271523178808,	0.1452513966480447,	0.20952380952380953,	0.1375,	0.16603773584905662,	0.16666666666666666,	0.018691588785046728,	0.03361344537815126,	0,	0.0,	0,	0.25517241379310346,	0.07956989247311828,	0.12131147540983607,	[False, True, False, False, False, False, False, False]
0.275,	0.0728476821192053,	0.11518324607329843,	0.17592592592592593,	0.11875,	0.1417910447761194,	0.16666666666666666,	0.018691588785046728,	0.03361344537815126,	0.0,	0.0,	0,	0.19753086419753085,	0.06881720430107527,	0.10207336523125995,	[True, True, False, False, False, False, False, False]
0.23076923076923078,	0.059602649006622516,	0.09473684210526315,	0.19,	0.11875,	0.14615384615384616,	0.10714285714285714,	0.028037383177570093,	0.044444444444444446,	0.0,	0.0,	0,	0.17415730337078653,	0.06666666666666667,	0.09642301710730948,	[False, False, True, False, False, False, False, False]
0.14285714285714285,	0.019867549668874173,	0.034883720930232565,	0.1893939393939394,	0.15625,	0.17123287671232879,	0.08823529411764706,	0.028037383177570093,	0.0425531914893617,	0,	0.0,	0,	0.1657754010695187,	0.06666666666666667,	0.0950920245398773,	[True, False, True, False, False, False, False, False]
0.1774193548387097,	0.0728476821192053,	0.10328638497652583,	0.19101123595505617,	0.2125,	0.20118343195266272,	0.24324324324324326,	0.08411214953271028,	0.125,	0,	0.0,	0,	0.19494584837545126,	0.11612903225806452,	0.14555256064690025,	[False, True, True, False, False, False, False, False]
0.23076923076923078,	0.059602649006622516,	0.09473684210526315,	0.21296296296296297,	0.14375,	0.17164179104477612,	0.13333333333333333,	0.018691588785046728,	0.032786885245901634,	0.0,	0.0,	0,	0.20481927710843373,	0.07311827956989247,	0.10776545166402536,	[True, True, True, False, False, False, False, False]
0.28735632183908044,	0.33112582781456956,	0.3076923076923077,	0.2682926829268293,	0.55,	0.36065573770491804,	0.28859060402684567,	0.40186915887850466,	0.3359375,	0.5,	0.19148936170212766,	0.27692307692307694,	0.28400597907324365,	0.40860215053763443,	0.3350970017636684,	[False, False, False, True, False, False, False, False]
0.2850678733031674,	0.41721854304635764,	0.3387096774193548,	0.3076923076923077,	0.425,	0.3569553805774278,	0.36,	0.3364485981308411,	0.3478260869565218,	0.36,	0.19148936170212766,	0.24999999999999994,	0.31040564373897706,	0.37849462365591396,	0.34108527131782945,	[True, False, False, True, False, False, False, False]
0.3240223463687151,	0.3841059602649007,	0.35151515151515156,	0.359375,	0.43125,	0.3920454545454546,	0.36363636363636365,	0.37383177570093457,	0.3686635944700461,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.35070140280561124,	0.3763440860215054,	0.3630705394190871,	[False, True, False, True, False, False, False, False]
0.3353658536585366,	0.36423841059602646,	0.34920634920634924,	0.391025641025641,	0.38125,	0.3860759493670886,	0.32608695652173914,	0.2803738317757009,	0.30150753768844224,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.3617021276595745,	0.32903225806451614,	0.34459459459459457,	[True, True, False, True, False, False, False, False]
0.30625,	0.32450331125827814,	0.31511254019292606,	0.3764705882352941,	0.4,	0.38787878787878793,	0.29213483146067415,	0.24299065420560748,	0.2653061224489796,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.3418013856812933,	0.31827956989247314,	0.3296213808463252,	[False, False, True, True, False, False, False, False]
0.3049645390070922,	0.2847682119205298,	0.2945205479452055,	0.4233576642335766,	0.3625,	0.39057239057239057,	0.3137254901960784,	0.29906542056074764,	0.30622009569377984,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.36061381074168797,	0.3032258064516129,	0.3294392523364486,	[True, False, True, True, False, False, False, False]
0.33858267716535434,	0.2847682119205298,	0.30935251798561153,	0.3881578947368421,	0.36875,	0.3782051282051282,	0.29333333333333333,	0.205607476635514,	0.24175824175824173,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.36065573770491804,	0.2838709677419355,	0.3176895306859206,	[False, True, True, True, False, False, False, False]
0.3253968253968254,	0.271523178807947,	0.296028880866426,	0.36416184971098264,	0.39375,	0.37837837837837834,	0.2602739726027397,	0.17757009345794392,	0.2111111111111111,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.34025974025974026,	0.2817204301075269,	0.30823529411764705,	[True, True, True, True, False, False, False, False]
0.43333333333333335,	0.08609271523178808,	0.143646408839779,	0.21965317919075145,	0.2375,	0.22822822822822822,	0.25,	0.04672897196261682,	0.07874015748031496,	0,	0.0,	0,	0.25112107623318386,	0.12043010752688173,	0.16279069767441862,	[False, False, False, False, True, False, False, False]
0.5,	0.0728476821192053,	0.12716763005780346,	0.1902439024390244,	0.24375,	0.2136986301369863,	0.2,	0.018691588785046728,	0.034188034188034185,	0,	0.0,	0,	0.21940928270042195,	0.11182795698924732,	0.14814814814814814,	[True, False, False, False, True, False, False, False]
0.4117647058823529,	0.1390728476821192,	0.20792079207920794,	0.23963133640552994,	0.325,	0.27586206896551724,	0.25925925925925924,	0.06542056074766354,	0.1044776119402985,	0.0,	0.0,	0,	0.2597402597402597,	0.17204301075268819,	0.2069857697283312,	[False, True, False, False, True, False, False, False]
0.34375,	0.1456953642384106,	0.20465116279069767,	0.2297872340425532,	0.3375,	0.27341772151898736,	0.17647058823529413,	0.028037383177570093,	0.04838709677419355,	0.0,	0.0,	0,	0.246875,	0.16989247311827957,	0.2012738853503185,	[True, True, False, False, True, False, False, False]
0.2676056338028169,	0.12582781456953643,	0.17117117117117117,	0.19230769230769232,	0.25,	0.2173913043478261,	0.21428571428571427,	0.08411214953271028,	0.12080536912751677,	0,	0.0,	0,	0.2118380062305296,	0.14623655913978495,	0.17302798982188294,	[False, False, True, False, True, False, False, False]
