mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	[True, False, False, False, False, False, False, False, False, False, False, False, False]
0.5434782608695652,	0.33112582781456956,	0.411522633744856,	0.22905027932960895,	0.25625,	0.24188790560471973,	0.15151515151515152,	0.04672897196261682,	0.07142857142857142,	0,	0.0,	0,	0.3157894736842105,	0.2064516129032258,	0.24967490247074123,	[False, True, False, False, False, False, False, False, False, False, False, False, False]
0.5444444444444444,	0.32450331125827814,	0.40663900414937754,	0.21637426900584794,	0.23125,	0.22356495468277945,	0.125,	0.028037383177570093,	0.04580152671755725,	0,	0.0,	0,	0.312280701754386,	0.1913978494623656,	0.23733333333333334,	[True, True, False, False, False, False, False, False, False, False, False, False, False]
0.24691358024691357,	0.13245033112582782,	0.1724137931034483,	0.1875,	0.1875,	0.1875,	0.16666666666666666,	0.04672897196261682,	0.072992700729927,	0,	0.0,	0,	0.2029520295202952,	0.11827956989247312,	0.1494565217391304,	[False, False, True, False, False, False, False, False, False, False, False, False, False]
0.3026315789473684,	0.152317880794702,	0.2026431718061674,	0.18518518518518517,	0.15625,	0.1694915254237288,	0.20967741935483872,	0.12149532710280374,	0.15384615384615385,	0,	0.0,	0,	0.22344322344322345,	0.13118279569892474,	0.16531165311653118,	[True, False, True, False, False, False, False, False, False, False, False, False, False]
0.33858267716535434,	0.2847682119205298,	0.30935251798561153,	0.19413919413919414,	0.33125,	0.24480369515011544,	0.2033898305084746,	0.11214953271028037,	0.14457831325301204,	0,	0.0,	0,	0.23529411764705882,	0.23225806451612904,	0.2337662337662338,	[False, True, True, False, False, False, False, False, False, False, False, False, False]
0.3787878787878788,	0.33112582781456956,	0.353356890459364,	0.23026315789473684,	0.4375,	0.3017241379310345,	0.22727272727272727,	0.14018691588785046,	0.17341040462427743,	0,	0.0,	0,	0.2689243027888446,	0.2903225806451613,	0.27921406411582217,	[True, True, True, False, False, False, False, False, False, False, False, False, False]
0.26693227091633465,	0.44370860927152317,	0.3333333333333333,	0.30472103004291845,	0.44375,	0.36132315521628494,	0.34210526315789475,	0.24299065420560748,	0.28415300546448086,	0.2727272727272727,	0.19148936170212766,	0.22499999999999998,	0.2917369308600337,	0.3720430107526882,	0.3270321361058601,	[False, False, False, True, False, False, False, False, False, False, False, False, False]
0.2900763358778626,	0.5033112582781457,	0.36803874092009686,	0.29767441860465116,	0.4,	0.3413333333333333,	0.35294117647058826,	0.3364485981308411,	0.3444976076555024,	0.34615384615384615,	0.19148936170212766,	0.2465753424657534,	0.30578512396694213,	0.3978494623655914,	0.34579439252336447,	[True, False, False, True, False, False, False, False, False, False, False, False, False]
0.3431372549019608,	0.46357615894039733,	0.3943661971830985,	0.3979591836734694,	0.4875,	0.43820224719101125,	0.3014705882352941,	0.38317757009345793,	0.33744855967078186,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.35495495495495494,	0.4236559139784946,	0.3862745098039216,	[False, True, False, True, False, False, False, False, False, False, False, False, False]
0.36666666666666664,	0.5099337748344371,	0.42659279778393355,	0.40437158469945356,	0.4625,	0.4314868804664723,	0.24786324786324787,	0.27102803738317754,	0.25892857142857145,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.3553875236294896,	0.4043010752688172,	0.3782696177062374,	[True, True, False, True, False, False, False, False, False, False, False, False, False]
0.3202247191011236,	0.37748344370860926,	0.34650455927051677,	0.389937106918239,	0.3875,	0.3887147335423198,	0.3472222222222222,	0.2336448598130841,	0.27932960893854747,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.35514018691588783,	0.32688172043010755,	0.3404255319148936,	[False, False, True, True, False, False, False, False, False, False, False, False, False]
0.33516483516483514,	0.40397350993377484,	0.3663663663663664,	0.3961038961038961,	0.38125,	0.3885350318471337,	0.3181818181818182,	0.2616822429906542,	0.28717948717948716,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.3623853211009174,	0.33978494623655914,	0.3507214206437292,	[True, False, True, True, False, False, False, False, False, False, False, False, False]
0.41875,	0.44370860927152317,	0.43086816720257237,	0.40782122905027934,	0.45625,	0.43067846607669613,	0.23636363636363636,	0.24299065420560748,	0.23963133640552994,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.37662337662337664,	0.3741935483870968,	0.37540453074433655,	[False, True, True, True, False, False, False, False, False, False, False, False, False]
0.41975308641975306,	0.4503311258278146,	0.4345047923322684,	0.40804597701149425,	0.44375,	0.4251497005988024,	0.25,	0.2523364485981308,	0.25116279069767444,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.38074398249452956,	0.3741935483870968,	0.37744034707158347,	[True, True, True, True, False, False, False, False, False, False, False, False, False]
0.35135135135135137,	0.08609271523178808,	0.13829787234042554,	0.19705882352941176,	0.41875,	0.268,	0.25,	0.04672897196261682,	0.07874015748031496,	0,	0.0,	0,	0.2141057934508816,	0.1827956989247312,	0.19721577726218098,	[False, False, False, False, True, False, False, False, False, False, False, False, False]
0.2692307692307692,	0.09271523178807947,	0.13793103448275862,	0.19607843137254902,	0.4375,	0.27079303675048355,	0.3,	0.056074766355140186,	0.09448818897637795,	0,	0.0,	0,	0.2097902097902098,	0.1935483870967742,	0.20134228187919462,	[True, False, False, False, True, False, False, False, False, False, False, False, False]
0.48148148148148145,	0.3443708609271523,	0.4015444015444015,	0.23948220064724918,	0.4625,	0.31556503198294245,	0.19117647058823528,	0.12149532710280374,	0.14857142857142855,	0.0,	0.0,	0,	0.28600823045267487,	0.2989247311827957,	0.29232386961093587,	[False, True, False, False, True, False, False, False, False, False, False, False, False]
