mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.46107784431137727,	0.5099337748344371,	0.48427672955974843,	0.4264705882352941,	0.54375,	0.478021978021978,	0.36134453781512604,	0.40186915887850466,	0.3805309734513274,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.4274353876739563,	0.46236559139784944,	0.4442148760330578,	[False, True, False, True, True, True, False, True, False]
0.41025641025641024,	0.5298013245033113,	0.4624277456647399,	0.4267241379310345,	0.61875,	0.5051020408163265,	0.3392857142857143,	0.35514018691588783,	0.34703196347031967,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.40613718411552346,	0.4838709677419355,	0.44160942100098133,	[True, True, False, True, False, True, False, False, False]
0.40625,	0.5165562913907285,	0.45481049562682213,	0.4479638009049774,	0.61875,	0.5196850393700787,	0.3364485981308411,	0.3364485981308411,	0.3364485981308411,	0.5,	0.1702127659574468,	0.25396825396825395,	0.4123134328358209,	0.4752688172043011,	0.44155844155844154,	[False, True, False, True, False, True, True, False, False]
0.4875,	0.5165562913907285,	0.5016077170418005,	0.4215686274509804,	0.5375,	0.47252747252747257,	0.3448275862068966,	0.37383177570093457,	0.35874439461883406,	0.5,	0.1702127659574468,	0.25396825396825395,	0.4274193548387097,	0.4559139784946237,	0.44120707596253905,	[True, True, False, True, True, True, False, False, False]
0.48427672955974843,	0.5099337748344371,	0.49677419354838714,	0.424390243902439,	0.54375,	0.47671232876712333,	0.3418803418803419,	0.37383177570093457,	0.35714285714285715,	0.5,	0.1702127659574468,	0.25396825396825395,	0.42655935613682094,	0.4559139784946237,	0.4407484407484408,	[False, True, False, True, True, True, False, False, False]
0.4523809523809524,	0.5033112582781457,	0.47648902821316613,	0.41232227488151657,	0.54375,	0.46900269541778977,	0.37168141592920356,	0.3925233644859813,	0.38181818181818183,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.42178217821782177,	0.45806451612903226,	0.43917525773195876,	[False, True, False, True, True, True, True, True, False]
0.375,	0.5364238410596026,	0.44141689373297005,	0.42424242424242425,	0.6125,	0.5012787723785166,	0.3644067796610169,	0.40186915887850466,	0.3822222222222222,	0.4,	0.1702127659574468,	0.23880597014925373,	0.39316239316239315,	0.4946236559139785,	0.4380952380952381,	[False, True, False, True, False, True, False, False, False]
0.40816326530612246,	0.5298013245033113,	0.4610951008645533,	0.42424242424242425,	0.6125,	0.5012787723785166,	0.3247863247863248,	0.35514018691588783,	0.3392857142857143,	0.5,	0.1702127659574468,	0.25396825396825395,	0.4,	0.4817204301075269,	0.4370731707317073,	[True, True, False, True, False, True, False, True, False]
0.4642857142857143,	0.5165562913907285,	0.4890282131661442,	0.4182692307692308,	0.54375,	0.4728260869565217,	0.336283185840708,	0.35514018691588783,	0.34545454545454546,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.4203187250996016,	0.45376344086021503,	0.4364012409513961,	[True, True, False, True, True, True, True, True, False]
0.4031413612565445,	0.5099337748344371,	0.45029239766081874,	0.4474885844748858,	0.6125,	0.5171503957783641,	0.32727272727272727,	0.3364485981308411,	0.3317972350230415,	0.42105263157894735,	0.1702127659574468,	0.24242424242424243,	0.40630797773654914,	0.47096774193548385,	0.4362549800796813,	[False, True, False, True, False, True, True, True, False]
0.5,	0.5165562913907285,	0.50814332247557,	0.39316239316239315,	0.575,	0.467005076142132,	0.32710280373831774,	0.32710280373831774,	0.32710280373831774,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.41732283464566927,	0.4559139784946237,	0.4357656731757451,	[False, True, True, True, True, True, True, False, False]
0.4785276073619632,	0.5165562913907285,	0.4968152866242038,	0.422680412371134,	0.5125,	0.46327683615819204,	0.32786885245901637,	0.37383177570093457,	0.34934497816593885,	0.5714285714285714,	0.1702127659574468,	0.2622950819672131,	0.42190669371196754,	0.44731182795698926,	0.4342379958246347,	[True, True, False, True, True, True, True, False, False]
0.4556213017751479,	0.5099337748344371,	0.48125,	0.4182692307692308,	0.54375,	0.4728260869565217,	0.3333333333333333,	0.3644859813084112,	0.3482142857142857,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.4161735700197239,	0.45376344086021503,	0.434156378600823,	[True, True, False, True, True, True, False, True, False]
0.38317757009345793,	0.543046357615894,	0.44931506849315067,	0.42105263157894735,	0.6,	0.4948453608247421,	0.34375,	0.411214953271028,	0.37446808510638296,	0.32,	0.1702127659574468,	0.22222222222222224,	0.3865546218487395,	0.4946236559139785,	0.4339622641509434,	[False, True, False, True, False, True, False, True, False]
0.47530864197530864,	0.5099337748344371,	0.49201277955271566,	0.415,	0.51875,	0.4611111111111111,	0.33613445378151263,	0.37383177570093457,	0.3539823008849558,	0.5714285714285714,	0.1702127659574468,	0.2622950819672131,	0.4202020202020202,	0.44731182795698926,	0.4333333333333333,	[False, True, False, True, True, True, True, False, False]
0.4875,	0.5165562913907285,	0.5016077170418005,	0.39148936170212767,	0.575,	0.46582278481012657,	0.3148148148148148,	0.3177570093457944,	0.31627906976744186,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.41050583657587547,	0.45376344086021503,	0.4310520939734423,	[True, True, True, True, True, True, True, False, False]
0.4936708860759494,	0.5165562913907285,	0.5048543689320388,	0.3939393939393939,	0.56875,	0.4654731457800511,	0.3119266055045872,	0.3177570093457944,	0.3148148148148148,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.410958904109589,	0.45161290322580644,	0.430327868852459,	[False, True, True, True, True, True, True, True, False]
0.475,	0.5033112582781457,	0.4887459807073955,	0.3948497854077253,	0.575,	0.4681933842239186,	0.3211009174311927,	0.32710280373831774,	0.32407407407407407,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.4093567251461988,	0.45161290322580644,	0.4294478527607362,	[True, True, True, True, True, True, False, False, False]
0.32234432234432236,	0.5827814569536424,	0.4150943396226415,	0.4041666666666667,	0.60625,	0.4850000000000001,	0.4090909090909091,	0.4205607476635514,	0.4147465437788019,	0.36363636363636365,	0.1702127659574468,	0.23188405797101447,	0.3689922480620155,	0.5118279569892473,	0.4288288288288289,	[False, False, False, True, False, True, False, True, False]
0.4550561797752809,	0.5364238410596026,	0.4924012158054711,	0.388646288209607,	0.55625,	0.45758354755784064,	0.3181818181818182,	0.32710280373831774,	0.3225806451612903,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.40264650283553877,	0.45806451612903226,	0.4285714285714286,	[True, True, False, True, True, True, False, True, True]
0.4114583333333333,	0.5231788079470199,	0.4606413994169097,	0.4386792452830189,	0.58125,	0.5,	0.29411764705882354,	0.32710280373831774,	0.3097345132743363,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.40074906367041196,	0.46021505376344085,	0.42842842842842843,	[True, True, True, True, False, True, False, False, False]
0.512987012987013,	0.5231788079470199,	0.5180327868852459,	0.39814814814814814,	0.5375,	0.4574468085106383,	0.29464285714285715,	0.308411214953271,	0.3013698630136986,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.4158215010141988,	0.44086021505376344,	0.42797494780793316,	[False, True, True, True, True, True, True, True, True]
0.4782608695652174,	0.5099337748344371,	0.4935897435897436,	0.3898305084745763,	0.575,	0.46464646464646464,	0.3125,	0.32710280373831774,	0.319634703196347,	0.5384615384615384,	0.14893617021276595,	0.23333333333333334,	0.4042145593869732,	0.45376344086021503,	0.4275582573454914,	[True, True, True, True, True, True, True, True, False]
