mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.5524475524475524,	0.5231788079470199,	0.5374149659863946,	0.4957983193277311,	0.7375,	0.592964824120603,	0.4608695652173913,	0.4953271028037383,	0.4774774774774775,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5069033530571992,	0.5526881720430108,	0.5288065843621399,	[True, True, True, True, False, True, True, False, False, True, True, True, False]
0.5524475524475524,	0.5231788079470199,	0.5374149659863946,	0.4957983193277311,	0.7375,	0.592964824120603,	0.4608695652173913,	0.4953271028037383,	0.4774774774774775,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.5069033530571992,	0.5526881720430108,	0.5288065843621399,	[True, True, True, True, False, True, True, True, False, True, True, True, False]
0.5364238410596026,	0.5364238410596026,	0.5364238410596026,	0.45353159851301117,	0.7625,	0.5687645687645687,	0.45689655172413796,	0.4953271028037383,	0.47533632286995514,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.4826325411334552,	0.567741935483871,	0.5217391304347827,	[False, True, True, True, False, True, False, False, False, True, True, True, False]
0.5364238410596026,	0.5364238410596026,	0.5364238410596026,	0.45353159851301117,	0.7625,	0.5687645687645687,	0.45689655172413796,	0.4953271028037383,	0.47533632286995514,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.4826325411334552,	0.567741935483871,	0.5217391304347827,	[False, True, True, True, False, True, False, True, False, True, True, True, False]
0.6068965517241379,	0.5827814569536424,	0.5945945945945945,	0.4245614035087719,	0.75625,	0.5438202247191011,	0.392,	0.45794392523364486,	0.42241379310344823,	0.8,	0.1702127659574468,	0.2807017543859649,	0.47079646017699117,	0.5720430107526882,	0.516504854368932,	[True, True, False, True, False, True, True, False, False, True, True, True, False]
0.6068965517241379,	0.5827814569536424,	0.5945945945945945,	0.4245614035087719,	0.75625,	0.5438202247191011,	0.392,	0.45794392523364486,	0.42241379310344823,	0.8,	0.1702127659574468,	0.2807017543859649,	0.47079646017699117,	0.5720430107526882,	0.516504854368932,	[True, True, False, True, False, True, True, True, False, True, True, True, False]
0.5328947368421053,	0.5364238410596026,	0.5346534653465347,	0.44649446494464945,	0.75625,	0.5614849187935034,	0.45217391304347826,	0.48598130841121495,	0.46846846846846846,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4763636363636364,	0.5634408602150538,	0.5162561576354681,	[True, True, True, True, False, True, False, False, False, True, True, True, False]
0.5328947368421053,	0.5364238410596026,	0.5346534653465347,	0.44649446494464945,	0.75625,	0.5614849187935034,	0.45217391304347826,	0.48598130841121495,	0.46846846846846846,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.4763636363636364,	0.5634408602150538,	0.5162561576354681,	[True, True, True, True, False, True, False, True, False, True, True, True, False]
0.5441176470588235,	0.4900662251655629,	0.5156794425087108,	0.5117370892018779,	0.68125,	0.5844504021447721,	0.47619047619047616,	0.4672897196261682,	0.4716981132075472,	0.5,	0.1702127659574468,	0.25396825396825395,	0.5127659574468085,	0.5182795698924731,	0.5155080213903742,	[True, True, True, True, True, True, False, False, True, True, True, True, False]
0.5441176470588235,	0.4900662251655629,	0.5156794425087108,	0.5117370892018779,	0.68125,	0.5844504021447721,	0.47619047619047616,	0.4672897196261682,	0.4716981132075472,	0.5,	0.1702127659574468,	0.25396825396825395,	0.5127659574468085,	0.5182795698924731,	0.5155080213903742,	[True, True, True, True, True, True, False, True, True, True, True, True, False]
0.52,	0.5165562913907285,	0.5182724252491695,	0.4468864468864469,	0.7625,	0.5635103926096998,	0.46153846153846156,	0.5046728971962616,	0.4821428571428571,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.47368421052631576,	0.5612903225806452,	0.5137795275590551,	[False, True, True, True, False, True, True, False, False, True, True, True, False]
0.52,	0.5165562913907285,	0.5182724252491695,	0.4468864468864469,	0.7625,	0.5635103926096998,	0.46153846153846156,	0.5046728971962616,	0.4821428571428571,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.47368421052631576,	0.5612903225806452,	0.5137795275590551,	[False, True, True, True, False, True, True, True, False, True, True, True, False]
