mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.3620689655172414,	0.41721854304635764,	0.38769230769230767,	0.3923444976076555,	0.5125,	0.4444444444444444,	0.43617021276595747,	0.38317757009345793,	0.40796019900497515,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.39191919191919194,	0.4172043010752688,	0.4041666666666666,	[False, True, False, True, False, False, False, False]
0.3620689655172414,	0.41721854304635764,	0.38769230769230767,	0.3923444976076555,	0.5125,	0.4444444444444444,	0.43617021276595747,	0.38317757009345793,	0.40796019900497515,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.39191919191919194,	0.4172043010752688,	0.4041666666666666,	[False, True, False, True, True, False, False, False]
0.3620689655172414,	0.41721854304635764,	0.38769230769230767,	0.3923444976076555,	0.5125,	0.4444444444444444,	0.43617021276595747,	0.38317757009345793,	0.40796019900497515,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.39191919191919194,	0.4172043010752688,	0.4041666666666666,	[False, True, False, True, False, True, False, False]
0.3620689655172414,	0.41721854304635764,	0.38769230769230767,	0.3923444976076555,	0.5125,	0.4444444444444444,	0.43617021276595747,	0.38317757009345793,	0.40796019900497515,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.39191919191919194,	0.4172043010752688,	0.4041666666666666,	[False, True, False, True, True, True, False, False]
0.35,	0.41721854304635764,	0.3806646525679758,	0.3872549019607843,	0.49375,	0.4340659340659341,	0.44086021505376344,	0.38317757009345793,	0.41,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.38979591836734695,	0.410752688172043,	0.4,	[True, True, False, True, False, False, False, False]
0.35,	0.41721854304635764,	0.3806646525679758,	0.3872549019607843,	0.49375,	0.4340659340659341,	0.44086021505376344,	0.38317757009345793,	0.41,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.38979591836734695,	0.410752688172043,	0.4,	[True, True, False, True, True, False, False, False]
0.35,	0.41721854304635764,	0.3806646525679758,	0.3872549019607843,	0.49375,	0.4340659340659341,	0.44086021505376344,	0.38317757009345793,	0.41,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.38979591836734695,	0.410752688172043,	0.4,	[True, True, False, True, False, True, False, False]
0.35,	0.41721854304635764,	0.3806646525679758,	0.3872549019607843,	0.49375,	0.4340659340659341,	0.44086021505376344,	0.38317757009345793,	0.41,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.38979591836734695,	0.410752688172043,	0.4,	[True, True, False, True, True, True, False, False]
0.34054054054054056,	0.41721854304635764,	0.37500000000000006,	0.4020618556701031,	0.4875,	0.44067796610169496,	0.475,	0.35514018691588783,	0.40641711229946526,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.3920335429769392,	0.4021505376344086,	0.3970276008492569,	[False, True, False, True, False, False, False, True]
0.34054054054054056,	0.41721854304635764,	0.37500000000000006,	0.4020618556701031,	0.4875,	0.44067796610169496,	0.475,	0.35514018691588783,	0.40641711229946526,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.3920335429769392,	0.4021505376344086,	0.3970276008492569,	[False, True, False, True, True, False, False, True]
0.34054054054054056,	0.41721854304635764,	0.37500000000000006,	0.4020618556701031,	0.4875,	0.44067796610169496,	0.475,	0.35514018691588783,	0.40641711229946526,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.3920335429769392,	0.4021505376344086,	0.3970276008492569,	[False, True, False, True, False, True, False, True]
0.34054054054054056,	0.41721854304635764,	0.37500000000000006,	0.4020618556701031,	0.4875,	0.44067796610169496,	0.475,	0.35514018691588783,	0.40641711229946526,	0.4444444444444444,	0.1702127659574468,	0.24615384615384614,	0.3920335429769392,	0.4021505376344086,	0.3970276008492569,	[False, True, False, True, True, True, False, True]
0.3539325842696629,	0.41721854304635764,	0.38297872340425526,	0.3917525773195876,	0.475,	0.42937853107344626,	0.4431818181818182,	0.3644859813084112,	0.4,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.3919491525423729,	0.3978494623655914,	0.3948772678762006,	[True, True, False, True, False, False, False, True]
0.3539325842696629,	0.41721854304635764,	0.38297872340425526,	0.3917525773195876,	0.475,	0.42937853107344626,	0.4431818181818182,	0.3644859813084112,	0.4,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.3919491525423729,	0.3978494623655914,	0.3948772678762006,	[True, True, False, True, True, False, False, True]
0.3539325842696629,	0.41721854304635764,	0.38297872340425526,	0.3917525773195876,	0.475,	0.42937853107344626,	0.4431818181818182,	0.3644859813084112,	0.4,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.3919491525423729,	0.3978494623655914,	0.3948772678762006,	[True, True, False, True, False, True, False, True]
