mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	[True, False, False, False, False, False, False, False]
0.7692307692307693,	0.06622516556291391,	0.12195121951219512,	0.2564102564102564,	0.0625,	0.10050251256281408,	0.6666666666666666,	0.018691588785046728,	0.03636363636363636,	0,	0.0,	0,	0.4,	0.047311827956989246,	0.0846153846153846,	[False, True, False, False, False, False, False, False]
0.5833333333333334,	0.046357615894039736,	0.08588957055214724,	0.23529411764705882,	0.05,	0.08247422680412371,	1.0,	0.018691588785046728,	0.03669724770642201,	0.0,	0.0,	0,	0.3469387755102041,	0.03655913978494624,	0.06614785992217899,	[True, True, False, False, False, False, False, False]
0.5,	0.026490066225165563,	0.05031446540880503,	0.11428571428571428,	0.025,	0.041025641025641026,	0.0,	0.0,	0,	0,	0.0,	0,	0.17777777777777778,	0.017204301075268817,	0.03137254901960784,	[False, False, True, False, False, False, False, False]
0.25,	0.006622516556291391,	0.012903225806451615,	0.08823529411764706,	0.01875,	0.03092783505154639,	0.0,	0.0,	0,	0.0,	0.0,	0,	0.09090909090909091,	0.008602150537634409,	0.015717092337917484,	[True, False, True, False, False, False, False, False]
0.24324324324324326,	0.059602649006622516,	0.09574468085106383,	0.35714285714285715,	0.0625,	0.10638297872340426,	0.6666666666666666,	0.018691588785046728,	0.03636363636363636,	0,	0.0,	0,	0.3088235294117647,	0.04516129032258064,	0.07879924953095684,	[False, True, True, False, False, False, False, False]
0.36,	0.059602649006622516,	0.10227272727272728,	0.25757575757575757,	0.10625,	0.15044247787610618,	0,	0.0,	0,	0,	0.0,	0,	0.2857142857142857,	0.05591397849462366,	0.09352517985611511,	[True, True, True, False, False, False, False, False]
0.2613065326633166,	0.3443708609271523,	0.29714285714285715,	0.31137724550898205,	0.325,	0.31804281345565755,	0.29411764705882354,	0.09345794392523364,	0.14184397163120566,	0.0,	0.0,	0,	0.28078817733990147,	0.24516129032258063,	0.261768082663605,	[False, False, False, True, False, False, False, False]
0.28421052631578947,	0.17880794701986755,	0.21951219512195122,	0.36,	0.3375,	0.34838709677419355,	0.391304347826087,	0.08411214953271028,	0.13846153846153844,	0.6,	0.19148936170212766,	0.29032258064516125,	0.3498233215547703,	0.2129032258064516,	0.2647058823529411,	[True, False, False, True, False, False, False, False]
0.36538461538461536,	0.25165562913907286,	0.2980392156862745,	0.4028776978417266,	0.35,	0.3745819397993311,	0.3584905660377358,	0.17757009345794392,	0.2375,	0.4117647058823529,	0.14893617021276595,	0.21875,	0.38338658146964855,	0.25806451612903225,	0.30848329048843187,	[False, True, False, True, False, False, False, False]
0.39603960396039606,	0.26490066225165565,	0.3174603174603175,	0.47058823529411764,	0.35,	0.4014336917562724,	0.4074074074074074,	0.102803738317757,	0.16417910447761194,	0.5,	0.02127659574468085,	0.04081632653061224,	0.43373493975903615,	0.23225806451612904,	0.3025210084033614,	[True, True, False, True, False, False, False, False]
0.36036036036036034,	0.26490066225165565,	0.3053435114503817,	0.47619047619047616,	0.3125,	0.37735849056603776,	0.3953488372093023,	0.1588785046728972,	0.22666666666666666,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.4227941176470588,	0.24731182795698925,	0.31207598371777473,	[False, False, True, True, False, False, False, False]
0.32098765432098764,	0.17218543046357615,	0.22413793103448276,	0.4857142857142857,	0.31875,	0.38490566037735846,	0.3953488372093023,	0.1588785046728972,	0.22666666666666666,	1.0,	0.14893617021276595,	0.25925925925925924,	0.4279661016949153,	0.2172043010752688,	0.2881597717546362,	[True, False, True, True, False, False, False, False]
0.4222222222222222,	0.25165562913907286,	0.3153526970954357,	0.5045045045045045,	0.35,	0.41328413284132837,	0.5185185185185185,	0.1308411214953271,	0.208955223880597,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.48333333333333334,	0.24946236559139784,	0.32907801418439714,	[False, True, True, True, False, False, False, False]
0.3486238532110092,	0.25165562913907286,	0.29230769230769227,	0.5046728971962616,	0.3375,	0.4044943820224719,	0.5294117647058824,	0.16822429906542055,	0.2553191489361702,	1.0,	0.14893617021276595,	0.25925925925925924,	0.45525291828793774,	0.25161290322580643,	0.3240997229916897,	[True, True, True, True, False, False, False, False]
0.5238095238095238,	0.0728476821192053,	0.12790697674418605,	0.125,	0.03125,	0.05,	0.0,	0.0,	0,	0,	0.0,	0,	0.25,	0.034408602150537634,	0.060491493383742906,	[False, False, False, False, True, False, False, False]
